application_id,business_name,application_date,week_label,requested_amount,entity,jurisdiction,credit_score,risk_rating,interest_rate,pd_probability,risk_band,recommendation,why_flagged,plain_english,assigned_to,decision_status,actual_default_demo
APP-900113,GreenLeaf Catering,2026-09-01,Last week,87784.0,Corp,AZ,555,5,8.84,0.8691,Risky,Refer to senior underwriter,lower credit score (555); thinner annual revenue; not banked at intake,High caution - about 1 in 2 similar loans may default (87% demo risk).,A. Patel,Pending,1
APP-900114,Harbor Logistics,2026-09-01,Last week,415892.0,LLC,GA,678,3,8.88,0.0058,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 171 similar loans would be expected to default (1% demo risk).,J. Chen,Pending,0
APP-900115,BrightPath Clinic,2026-08-31,Last week,369630.0,Partnership,OH,510,5,3.62,0.9226,Risky,Refer to senior underwriter,lower credit score (510); not banked at intake; fewer jobs at investment,High caution - about 1 in 2 similar loans may default (92% demo risk).,M. Torres,Pending,1
APP-900116,Oak & Iron Construction,2026-09-04,Last week,150392.0,Sole Proprietor,FL,548,5,12.27,0.9937,Risky,Refer to senior underwriter,lower credit score (548); higher interest rate (12.3%); not banked at intake,Extremely high chance of default in this demo score.,You (demo),Pending,1
APP-900117,Nova Retail Group,2026-09-10,This week,109923.0,Sole Proprietor,NC,567,6,15.31,0.9941,Risky,Refer to senior underwriter,lower credit score (567); weaker internal risk rating (6); higher interest rate (15.3%),Extremely high chance of default in this demo score.,A. Patel,Pending,1
APP-900118,Skyline HVAC,2026-08-31,Last week,129027.0,Partnership,GA,685,4,3.5,0.013,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 77 similar loans would be expected to default (1% demo risk).,J. Chen,Pending,0
APP-900119,Riverbend Farms,2026-09-05,This week,166673.0,Corp,TX,694,2,6.08,0.0065,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 154 similar loans would be expected to default (1% demo risk).,M. Torres,Pending,0
APP-900120,Summit Studio,2026-09-04,Last week,88960.0,Partnership,AZ,760,1,11.8,0.0198,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 50 similar loans would be expected to default (2% demo risk).,You (demo),Pending,0
APP-900121,Coastal Autoworks,2026-09-06,This week,240165.0,LLC,FL,685,5,15.95,0.9433,Risky,Refer to senior underwriter,higher interest rate (15.9%); fewer jobs at investment,High caution - about 1 in 2 similar loans may default (94% demo risk).,A. Patel,Pending,0
APP-900122,Pioneer Boutique,2026-09-09,This week,210632.0,Partnership,AZ,680,6,12.73,0.1554,Lower risk,Standard path - approve with usual conditions,weaker internal risk rating (6); higher interest rate (12.7%),About 1 in 6 similar loans would be expected to default (16% demo risk).,J. Chen,Pending,0
APP-900123,GreenLeaf Catering,2026-08-30,Last week,317509.0,Sole Proprietor,AZ,676,3,9.42,0.0752,Lower risk,Standard path - approve with usual conditions,not banked at intake,About 1 in 13 similar loans would be expected to default (8% demo risk).,M. Torres,Pending,0
APP-900124,Harbor Logistics,2026-09-01,Last week,125548.0,LLC,FL,508,6,15.44,0.9958,Risky,Refer to senior underwriter,lower credit score (508); weaker internal risk rating (6); higher interest rate (15.4%),Extremely high chance of default in this demo score.,You (demo),Pending,1
APP-900125,BrightPath Clinic,2026-09-02,Last week,310228.0,Sole Proprietor,NC,579,9,15.44,0.9975,Risky,Refer to senior underwriter,lower credit score (579); weaker internal risk rating (9); higher interest rate (15.4%),Extremely high chance of default in this demo score.,A. Patel,Pending,1
APP-900126,Oak & Iron Construction,2026-09-06,This week,220443.0,Partnership,CA,753,1,12.52,0.0094,Lower risk,Standard path - approve with usual conditions,higher interest rate (12.5%); thinner annual revenue; not banked at intake,About 1 in 107 similar loans would be expected to default (1% demo risk).,J. Chen,Pending,0
APP-900127,Nova Retail Group,2026-08-31,Last week,102369.0,Corp,AZ,515,4,18.69,0.9941,Risky,Refer to senior underwriter,lower credit score (515); higher interest rate (18.7%); fewer jobs at investment,Extremely high chance of default in this demo score.,M. Torres,Pending,1
APP-900128,Skyline HVAC,2026-09-04,Last week,105622.0,Sole Proprietor,FL,634,6,3.5,0.0782,Lower risk,Standard path - approve with usual conditions,weaker internal risk rating (6); thinner annual revenue,About 1 in 13 similar loans would be expected to default (8% demo risk).,You (demo),Pending,0
APP-900129,Riverbend Farms,2026-09-05,This week,75109.0,LLC,OH,643,6,13.12,0.9903,Risky,Refer to senior underwriter,weaker internal risk rating (6); higher interest rate (13.1%); thinner annual revenue,Extremely high chance of default in this demo score.,A. Patel,Pending,1
APP-900130,Summit Studio,2026-09-05,This week,197032.0,Corp,TX,817,1,5.54,0.0039,Lower risk,Standard path - approve with usual conditions,not banked at intake; fewer jobs at investment,About 1 in 256 similar loans would be expected to default (0% demo risk).,J. Chen,Pending,0
APP-900131,Coastal Autoworks,2026-09-08,This week,228635.0,Sole Proprietor,NC,615,7,8.65,0.9602,Risky,Refer to senior underwriter,lower credit score (615); weaker internal risk rating (7); thinner annual revenue,High caution - about 1 in 2 similar loans may default (96% demo risk).,M. Torres,Pending,1
APP-900132,Pioneer Boutique,2026-09-10,This week,38704.0,Sole Proprietor,NY,703,7,12.37,0.9534,Risky,Refer to senior underwriter,weaker internal risk rating (7); higher interest rate (12.4%); thinner annual revenue,High caution - about 1 in 2 similar loans may default (95% demo risk).,You (demo),Pending,1
APP-900133,GreenLeaf Catering,2026-09-04,Last week,90028.0,LLC,OH,680,5,11.95,0.4236,Moderately risky,Request more docs before decision,not banked at intake,Elevated risk - roughly 1 in 2 similar loans may default (42% demo risk).,A. Patel,Pending,1
APP-900134,Harbor Logistics,2026-08-30,Last week,64278.0,Corp,GA,609,6,14.12,0.9903,Risky,Refer to senior underwriter,lower credit score (609); weaker internal risk rating (6); higher interest rate (14.1%),Extremely high chance of default in this demo score.,J. Chen,Pending,1
APP-900135,BrightPath Clinic,2026-09-11,This week,84127.0,Corp,IL,642,4,8.2,0.0274,Lower risk,Standard path - approve with usual conditions,combined borrower and loan-term profile,About 1 in 36 similar loans would be expected to default (3% demo risk).,M. Torres,Pending,0
APP-900136,Oak & Iron Construction,2026-08-30,Last week,210519.0,LLC,WA,721,1,12.42,0.0137,Lower risk,Standard path - approve with usual conditions,higher interest rate (12.4%); not banked at intake; fewer jobs at investment,About 1 in 73 similar loans would be expected to default (1% demo risk).,You (demo),Pending,0
APP-900137,Nova Retail Group,2026-08-31,Last week,145971.0,Partnership,WA,671,3,11.07,0.024,Lower risk,Standard path - approve with usual conditions,thinner annual revenue,About 1 in 42 similar loans would be expected to default (2% demo risk).,A. Patel,Pending,0
APP-900138,Skyline HVAC,2026-09-08,This week,124290.0,Corp,IL,577,7,13.15,0.9332,Risky,Refer to senior underwriter,lower credit score (577); weaker internal risk rating (7); higher interest rate (13.1%),High caution - about 1 in 2 similar loans may default (93% demo risk).,J. Chen,Pending,1
APP-900139,Riverbend Farms,2026-09-03,Last week,176889.0,LLC,OH,625,6,4.96,0.9299,Risky,Refer to senior underwriter,weaker internal risk rating (6); thinner annual revenue; multiple extensions (3),High caution - about 1 in 2 similar loans may default (93% demo risk).,M. Torres,Pending,1
